Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Seth Russell,Baylor,QB,74.88,213,9.63,32.25,,,,,,,,
2017,Victor Salako,Oklahoma State,OT,78,335,,,,,,,,4.78,,
2017,Curtis Samuel,Ohio State,WR,71,196,9.5,31.25,22,4.31,18,37,119,4.33,7.09,
2017,Eric Saubert,Drake (IA),TE,76.63,253,10.38,33.5,35,,22,33,121,,,
2017,Artavis Scott,Clemson,WR,70.25,193,9.38,31,,4.61,13,31,116,4.49,7.19,
2017,Ricky Seals-Jones,Texas A&M,WR,76.63,243,9.63,33.13,,4.69,17,28,121,4.33,7.46,
2017,Justin Senior,Mississippi State,OT,76.63,331,10.25,34,,5.55,,23,98,5.06,8.19,
2017,Adam Shaheen,Ashland (OH),TE,77.75,278,9.63,33.5,24,4.79,24,32.5,121,4.38,7.09,
2017,David Sharpe,Florida,OT,77.75,343,10,35.38,,5.44,19,20.5,97,4.78,7.87,
2017,Rushel Shell,West Virginia,RB,69.63,227,9.63,30,,4.74,21,32.5,,4.08,,
2017,Garrett Sickels,Penn State,DE,75.13,261,9.5,32.13,,4.9,20,28,105,4.39,7.21,
2017,Nico Siragusa,San Diego State,OG,76.38,319,10.63,33.5,31,5.35,28,32,110,4.56,7.71,
2017,Dan Skipper,Arkansas,OT,81.63,309,10.5,33.38,,5.42,,26,97,5.01,7.61,
2017,Tanzel Smart,Tulane (LA),DT,72.63,296,9.63,32.88,,5.24,22,27,105,,7.53,
2017,De'Veon Smith,Michigan,RB,70.88,223,9,29.5,,,22,29,108,4.56,7.3,
2017,Jonnu Smith,Florida International,TE,74.75,248,9.25,32.88,,4.62,22,38,127,4.18,,
2017,JuJu Smith-Schuster,Southern California,WR,73.25,215,10.5,32.88,,4.54,15,32.5,120,5.01,,
2017,Dawuane Smoot,Illinois,DE,74.88,264,9.25,33.25,,4.77,,29.5,117,4.28,7.18,
2017,Jeremy Sprinkle,Arkansas,TE,77,252,10.75,34.5,,4.69,,29,116,4.33,,11.85
2017,Jamari Staples,Louisville,WR,75,195,9.5,33.5,,4.51,,36,130,4.14,,
2017,Jordan Sterns,Oklahoma State,SS,71,196,8.88,31.38,,,,,,4.2,,10.71
2017,Freddie Stevenson,Florida State,FB,72,234,9.63,32.75,,4.75,24,28,111,4.36,7.65,11.65
2017,ArDarius Stewart,Alabama,WR,71.25,204,9.38,32.5,20,4.49,,34,124,4.21,,11.23
2017,Channing Stribling,Michigan,CB,73,188,8.5,31.5,,4.6,5,31.5,114,4.56,6.94,
2017,Cameron Sutton,Tennessee,CB,71,188,8.25,30,,4.52,11,34,120,,6.81,
2017,Ryan Switzer,North Carolina,WR,68.5,181,9.25,28,,4.51,11,32,116,4,6.77,11.14
2017,Teez Tabor,Florida,CB,72.25,199,8.63,32,,4.62,9,31,120,,,
2017,Cordrea Tankersley,Clemson,CB,72.75,199,9.13,32.25,,4.4,13,29.5,121,4.32,7,
2017,Taywan Taylor,Western Kentucky,WR,71,203,9.25,32.63,,4.5,13,33.5,132,4.21,6.57,
2017,Trent Taylor,Louisiana Tech,WR,67.63,181,8.25,28.75,,4.63,13,33,117,4.01,6.74,
2017,Vincent Taylor,Oklahoma State,DT,74.75,304,10.13,34.38,,5.07,26,28.5,108,4.59,7.58,
2017,Sam Tevi,Utah,OT,77,311,10.13,34,,5.27,15,26,107,4.6,7.84,
2017,Nate Theaker,Wayne St. (MI),OG,77,315,9.63,32.63,,5.41,23,27,105,4.55,7.97,
2017,Jahad Thomas,Temple,RB,69.63,190,9,30.13,,4.62,11,32,116,,,
2017,Noel Thomas,Connecticut,WR,72.13,205,8.75,30,,4.63,9,32.5,118,,,
2017,Solomon Thomas,Stanford,DE,74.75,273,9.38,33,24,4.69,30,35,126,4.58,6.95,12.3
2017,Tedric Thompson,Colorado,FS,71.75,204,9.63,31.5,,4.6,17,32.5,117,4.36,7.11,12.13
2017,Jack Tocho,North Carolina State,CB,71.88,202,9.38,31.63,,4.54,21,35,125,4.07,,
2017,Dalvin Tomlinson,Alabama,DT,75,310,10.13,33.5,25,5.19,,27,110,4.39,7.68,
2017,Alek Torgersen,Pennsylvania,QB,75,230,,,,,,,,4.31,,
2017,Jon Toth,Kentucky,C,77,307,10,33.63,,5.51,21,25.5,100,4.37,8.09,11.77
2017,Damarius Travis,Minnesota,SS,72.75,206,9,31.75,,,13,32.5,115,4.28,7.08,
2017,Mitchell Trubisky,North Carolina,QB,74.13,222,9.5,32,25,4.67,,27.5,116,4.25,6.87,
2017,Stevie Tu'ikolovatu,Southern California,DT,73.13,331,10.25,33,,5.45,28,24.5,91,4.65,7.83,
2017,Josh Tupou,Colorado,NT,75,325,,,,,,,,4.93,,
2017,Michael Tyson,Cincinnati,SS,72.88,204,9.25,31.75,,4.56,17,33,118,,,
2017,Jerry Ugokwe,William & Mary (VA),OT,79.25,321,10.38,35.38,,5.61,18,26,103,5.17,8.35,
2017,Conrad Ukropina,Stanford,K,72,190,9.13,31.38,,,,,,,,
2017,Tanner Vallejo,Boise State,LB,72.75,228,9.63,30.5,,4.67,,33.5,121,,,
2017,Eddie Vanderdoes,UCLA,DT,75.13,305,10.63,33.13,20,4.99,28,28.5,111,,7.69,
2017,Justin Vogel,Miami (FL),P,76,219,9,32.5,,4.7,,34,,4.53,,
2017,Charles Walker,Oklahoma,DT,74.13,310,9.63,33.75,,4.96,25,28,107,4.13,7.89,11.58
2017,Demarcus Walker,Florida State,DE,75.75,280,10.5,33,,,18,,,4.89,,
2017,Carlos Watkins,Clemson,DT,75.13,309,10.38,34.63,,,25,,,4.73,,
2017,Deshaun Watson,Clemson,QB,74.13,221,9.75,33,20,4.66,,32.5,119,4.31,6.95,
2017,T.J. Watt,Wisconsin,LB,76.25,252,11,33.13,29,4.69,21,37,128,4.78,6.79,
2017,Davis Webb,California,QB,77,229,9.25,33.13,25,4.79,,33,118,,6.92,
2017,Mike Williams,Clemson,WR,75.75,218,9.38,33.38,17,,15,32.5,121,,,
